company_name,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
Clever Grapes,2,26000.0,26000.0,24000.0,28000.0,2828.42712474619
ClickMeeting,4,9959.25,10584.0,8085.0,10584.0,1249.5
Clorce Solutions,4,7000.0,7000.0,7000.0,7000.0,0.0
CloudFerro sp. z o.o.,15,23133.333333333332,25000.0,18000.0,25000.0,3204.1639575194445
CloudLinux,1,17160.0,17160.0,17160.0,17160.0,
CloudTalk,6,15566.666666666666,16345.0,14010.0,16345.0,1205.7888151192421
Clouds on Mars Sp. z o.o.,21,15285.714285714286,11000.0,11000.0,20000.0,4605.89684147243
Clurgo,6,16660.0,16380.0,14280.0,20160.0,2678.357705759259
Codahead,1,20000.0,20000.0,20000.0,20000.0,
Code Poets,13,16384.615384615383,18000.0,12000.0,18000.0,2631.1740579210878
CodeTwo - HRejterzy,4,14000.0,14000.0,10000.0,18000.0,4618.8021535170055
Codee,1,9000.0,9000.0,9000.0,9000.0,
Codelab Sp. z o.o.,5,16400.0,18000.0,13000.0,18000.0,2302.1728866442677
Codemask,1,18000.0,18000.0,18000.0,18000.0,
Codibly,14,21378.571428571428,20000.0,19000.0,26800.0,2259.7408195252333
Codilime,24,20395.833333333332,22000.0,16500.0,22000.0,2449.3972935090123
Codiway,1,12000.0,12000.0,12000.0,12000.0,
Coffee Mug,1,15000.0,15000.0,15000.0,15000.0,
Cofinity,2,7500.0,7500.0,5000.0,10000.0,3535.5339059327375
Cognizant Technology Solutions,19,17789.473684210527,18000.0,14000.0,18000.0,917.6629354822467
CoinAPI.io,1,10000.0,10000.0,10000.0,10000.0,
ComScore,1,20000.0,20000.0,20000.0,20000.0,
Comernal Software Sp. z o.o.,1,26000.0,26000.0,26000.0,26000.0,
Commoditech,1,25000.0,25000.0,25000.0,25000.0,
Comp S.A.,1,4000.0,4000.0,4000.0,4000.0,
CompanyHouse,1,14000.0,14000.0,14000.0,14000.0,
Compuco,11,13742.527272727275,15960.0,11081.560000000001,15960.0,2547.682199761542
Concentrix,21,19524.714285714286,19300.0,19300.0,24000.0,1025.4251383137207
Connecta Sp. z o.o.,1,5000.0,5000.0,5000.0,5000.0,
Connectis,26,20850.0,21500.0,9000.0,28000.0,4864.997430626248
Conscensia,3,24333.333333333332,25000.0,20000.0,28000.0,4041.4518843273804
Consdata S.A.,5,15306.0,14950.0,12000.0,19680.0,2758.700781164931
Consid,46,19521.739130434784,19500.0,17000.0,22000.0,2084.217203809865
Consileon Polska,12,19000.0,19000.0,19000.0,19000.0,0.0
Consult Red,14,30035.714285714286,33000.0,23500.0,33000.0,4143.875395894922
Convertis sp. z o.o.,1,9000.0,9000.0,9000.0,9000.0,
Convista Poland | axxiome,4,3864.0,3864.0,3864.0,3864.0,0.0
Corva,2,17160.0,17160.0,17160.0,17160.0,0.0
CottonBee,6,12800.0,12800.0,12800.0,12800.0,0.0
Cpl Poland,20,18525.0,18000.0,14000.0,32000.0,4234.8025493025
Crafton,1,7000.0,7000.0,7000.0,7000.0,
Craftware,2,24660.0,24660.0,19320.0,30000.0,7551.900423072328
Craon.pl,1,26880.0,26880.0,26880.0,26880.0,
Crealogix,6,19333.333333333332,19000.0,13000.0,30000.0,5750.362307426087
Creanso,1,7000.0,7000.0,7000.0,7000.0,
Creative Ideas Sp. z o.o.,7,13714.285714285714,15000.0,12000.0,15000.0,1603.5674514745463
Crestt,24,21092.5,22400.0,14000.0,23520.0,3579.9626546509744
